Time Series artificial accelerogram: 1
 
Time Step: 0.01000 s
 
     Time(sec)	        Acc(g)	                              
       2.72000	       0.24253	                              
       2.73000	       0.25511	                              
       2.74000	       0.25639	                              
       2.75000	       0.24004	                              
       2.76000	       0.20659	                              
       2.77000	       0.16538	                              
       2.78000	       0.12863	                              
       2.79000	       0.10409	                              
       2.80000	       0.09152	                              
       2.81000	       0.08511	                              
       2.82000	       0.07642	                              
       2.83000	       0.05721	                              
       2.84000	       0.02221	                              
       2.85000	      -0.02584	                              
       2.86000	      -0.07649	                              
       2.87000	      -0.11718	                              
       2.88000	      -0.13953	                              
       2.89000	      -0.13736	                              
       2.90000	      -0.10461	                              
       2.91000	      -0.03746	                              
       2.92000	       0.06031	                              
       2.93000	       0.17057	                              
       2.94000	       0.25305	                              
       2.95000	       0.28496	                              
       2.96000	       0.22379	                              
       2.97000	       0.10459	                              
       2.98000	       0.05096	                              
       2.99000	       0.02949	                              
       3.00000	       0.03557	                              
       3.01000	       0.05874	                              
       3.02000	       0.10691	                              
       3.03000	       0.15598	                              
       3.04000	       0.17758	                              
       3.05000	       0.16694	                              
       3.06000	       0.13639	                              
       3.07000	       0.10768	                              
       3.08000	       0.09192	                              
       3.09000	       0.08111	                              
       3.10000	       0.05993	                              
       3.11000	       0.02120	                              
       3.12000	      -0.02859	                              
       3.13000	      -0.07296	                              
       3.14000	      -0.09532	                              
       3.15000	      -0.08940	                              
       3.16000	      -0.06392	                              
       3.17000	      -0.03801	                              
       3.18000	      -0.03042	                              
       3.19000	      -0.05047	                              
       3.20000	      -0.09557	                              
       3.21000	      -0.15435	                              
       3.22000	      -0.21191	                              
       3.23000	      -0.25500	                              
       3.24000	      -0.27609	                              
       3.25000	      -0.27513	                              
       3.26000	      -0.25874	                              
       3.27000	      -0.23768	                              
       3.28000	      -0.22332	                              
       3.29000	      -0.22358	                              
       3.30000	      -0.23940	                              
       3.31000	      -0.26430	                              
       3.32000	      -0.28851	                              
       3.33000	      -0.30545	                              
       3.34000	      -0.31470	                              
       3.35000	      -0.31824	                              
       3.36000	      -0.31364	                              
       3.37000	      -0.29295	                              
       3.38000	      -0.25006	                              
       3.39000	      -0.18912	                              
       3.40000	      -0.12391	                              
       3.41000	      -0.06879	                              
       3.42000	      -0.02958	                              
       3.43000	      -0.00359	                              
       3.44000	       0.01318	                              
       3.45000	       0.01891	                              
       3.46000	       0.00793	                              
       3.47000	      -0.02122	                              
       3.48000	      -0.05639	                              
       3.49000	      -0.07465	                              
       3.50000	      -0.05894	                              
       3.51000	      -0.01528	                              
       3.52000	       0.02513	                              
       3.53000	       0.01223	                              
       3.54000	      -0.05837	                              
       3.55000	      -0.13974	                              
       3.56000	      -0.20915	                              
       3.57000	      -0.26409	                              
       3.58000	      -0.30708	                              
       3.59000	      -0.30192	                              
       3.60000	      -0.25517	                              
       3.61000	      -0.18076	                              
       3.62000	      -0.11602	                              
       3.63000	      -0.09373	                              
       3.64000	      -0.10846	                              
       3.65000	      -0.13576	                              
       3.66000	      -0.15006	                              
       3.67000	      -0.13950	                              
       3.68000	      -0.10850	                              
       3.69000	      -0.06822	                              
       3.70000	      -0.02703	                              
       3.71000	       0.00798	                              
       3.72000	       0.02747	                              
       3.73000	       0.02046	                              
       3.74000	      -0.01731	                              
       3.75000	      -0.07654	                              
       3.76000	      -0.13649	                              
       3.77000	      -0.17679	                              
       3.78000	      -0.18785	                              
       3.79000	      -0.17319	                              
       3.80000	      -0.14443	                              
       3.81000	      -0.11501	                              
       3.82000	      -0.09477	                              
       3.83000	      -0.08715	                              
       3.84000	      -0.08934	                              
       3.85000	      -0.09584	                              
       3.86000	      -0.10237	                              
       3.87000	      -0.10723	                              
       3.88000	      -0.10983	                              
       3.89000	      -0.10880	                              
       3.90000	      -0.10244	                              
       3.91000	      -0.09081	                              
       3.92000	      -0.07716	                              
       3.93000	      -0.06686	                              
       3.94000	      -0.06491	                              
       3.95000	      -0.07423	                              
       3.96000	      -0.09478	                              
       3.97000	      -0.12281	                              
       3.98000	      -0.15020	                              
       3.99000	      -0.16583	                              
       4.00000	      -0.16007	                              
       4.01000	      -0.13124	                              
       4.02000	      -0.08875	                              
       4.03000	      -0.04962	                              
       4.04000	      -0.02829	                              
       4.05000	      -0.02732	                              
       4.06000	      -0.03667	                              
       4.07000	      -0.04552	                              
       4.08000	      -0.05060	                              
       4.09000	      -0.05325	                              
       4.10000	      -0.05394	                              
       4.11000	      -0.05871	                              
       4.12000	      -0.08131	                              
       4.13000	      -0.12377	                              
       4.14000	      -0.15216	                              
       4.15000	      -0.15358	                              
       4.16000	      -0.12615	                              
       4.17000	      -0.08825	                              
       4.18000	      -0.06119	                              
       4.19000	      -0.04836	                              
       4.20000	      -0.06318	                              
       4.21000	      -0.09893	                              
       4.22000	      -0.14202	                              
       4.23000	      -0.17705	                              
       4.24000	      -0.19489	                              
       4.25000	      -0.20155	                              
       4.26000	      -0.20945	                              
       4.27000	      -0.22675	                              
       4.28000	      -0.25149	                              
       4.29000	      -0.27352	                              
       4.30000	      -0.28207	                              
       4.31000	      -0.27259	                              
       4.32000	      -0.24793	                              
       4.33000	      -0.21642	                              
       4.34000	      -0.18818	                              
       4.35000	      -0.16981	                              
       4.36000	      -0.16004	                              
       4.37000	      -0.15116	                              
       4.38000	      -0.13648	                              
       4.39000	      -0.11698	                              
       4.40000	      -0.10040	                              
       4.41000	      -0.09353	                              
       4.42000	      -0.09503	                              
       4.43000	      -0.09543	                              
       4.44000	      -0.08425	                              
       4.45000	      -0.05775	                              
       4.46000	      -0.02111	                              
       4.47000	       0.01569	                              
       4.48000	       0.04427	                              
       4.49000	       0.06200	                              
       4.50000	       0.07191	                              
       4.51000	       0.07936	                              
       4.52000	       0.08799	                              
       4.53000	       0.09734	                              
       4.54000	       0.10354	                              
       4.55000	       0.10228	                              
       4.56000	       0.09238	                              
       4.57000	       0.07662	                              
       4.58000	       0.05955	                              
       4.59000	       0.04331	                              
       4.60000	       0.02622	                              
       4.61000	       0.00556	                              
       4.62000	      -0.01701	                              
